"Number Range","Operators"
"525x-xxxx","Cellplus  Mobile Communications Ltd"
"526x-xxxx","Cellplus Mobile Communications Ltd"
"527x-xxxx","Mahanagar Telephone (Mauritius) Ltd"
"528x-xxxx","Mahanagar Telephone (Mauritius) Ltd"
"529x-xxxx","Mahanagar Telephone (Mauritius) Ltd"
"5421-xxxx","Emtel Ltd"
"5422-xxxx","Emtel Ltd"
"5423-xxxx","Emtel Ltd"
"5428-xxxx","Emtel Ltd"
"5429-xxxx","Emtel Ltd"
"543x-xxxx","Emtel Ltd"
"544x-xxxx","Emtel Ltd"
"545x-xxxx","Emtel Ltd"
"546x-xxxx","Emtel Ltd"
"5471-xxxx","Cellplus"
"5472-xxxx","Emtel Ltd"
"5473-xxxx","Emtel Ltd"
"5474-xxxx","Emtel Ltd"
"5475-xxxx","Emtel Ltd"
"5476-xxxx","Emtel Ltd"
"5477-xxxx","Emtel Ltd"
"5478-xxxx","Emtel Ltd"
"5479-xxxx","Emtel Ltd"
"548x-xxxx","Emtel"
"5490-xxxx","Emtel Ltd"
"5491-xxxx","Emtel Ltd"
"5492-xxxx","Emtel Ltd"
"5493-xxxx","Emtel Ltd"
"5494-xxxx","Emtel Ltd"
"5495-xxxx","Emtel Ltd"
"5496-xxxx","Emtel Ltd"
"5497-xxxx","Emtel Ltd"
"5498-xxxx","Emtel Ltd"
"5499-xxxx","Emtel Ltd"
"550x-xxxx","Cellplus Mobile Communications Ltd"
"551x-xxxx","Emtel Ltd"
"552x xxxx","Mahanagar Telephone (Mauritius) Ltd"
"553x-xxxx","Cellplus Mobile Communications Ltd"
"570x xxxx","Cellplus  Mobile Communications Ltd"
"571x-xxxx","Emtel Ltd"
"572x-xxxx","Emtel Ltd"
"573x-xxxx","Emtel Ltd"
"574x-xxxx","Emtel Ltd"
"575x-xxxx","Cellplus  Mobile Communications Ltd"
"576x-xxxx","Cellplus  Mobile Communications Ltd"
"577x-xxxx","Cellplus  Mobile Communications Ltd"
"578x-xxxx","Cellplus  Mobile Communications Ltd"
"579x xxxx","Cellplus  Mobile Communications Ltd"
"580x xxxx","Cellplus  Mobile Communications Ltd"
"581x xxxx","Cellplus  Mobile Communications Ltd"
"582x xxxx","Cellplus  Mobile Communications Ltd"
"583x xxxx","Cellplus  Mobile Communications Ltd"
"584x-xxxx","Emtel Ltd"
"585x-xxxx","Emtel Ltd"
"586x xxxx","Mahanagar Telephone (Mauritius) Ltd"
"5871-xxxx","Mahanagar Telephone (Mauritius) Ltd"
"5875 xxxx","Cellplus  Mobile Communications Ltd"
"5876 xxxx","Cellplus  Mobile Communications Ltd"
"5877 xxxx","Cellplus  Mobile Communications Ltd"
"5878 xxxx","Cellplus  Mobile Communications Ltd"
"588x xxxx","Mahanagar Telephone (Mauritius) Ltd"
"589x xxxx","Mahanagar Telephone (Mauritius) Ltd"
"590x xxxx","Cellplus  Mobile Communications Ltd"
"591x xxxx","Cellplus  Mobile Communications Ltd"
"592x xxxx","Cellplus  Mobile Communications Ltd"
"593x-xxxx","Emtel Ltd"
"594x xxxx","Cellplus  Mobile Communications Ltd"
"595x-xxxx","Mahanagar Telephone (Mauritius) Ltd"
"596x-xxxx","Mahanagar Telephone (Mauritius) Ltd"
"597x-xxxx","Emtel Ltd"
"598x-xxxx","Emtel Ltd"
"700x xxxx","Cellplus  Mobile Communications Ltd"
"701x xxxx","Emtel Ltd"
"702x xxxx","Mahanagar Telephone (Mauritius) Ltd"
"703x xxxx","Emtel Ltd"
"704x xxxx","Emtel Ltd"
"730x xxxx","Emtel Ltd"
"731x xxxx","Mahanagar Telephone (Mauritius) Ltd"
"733x xxxx","Cellplus  Mobile Communications Ltd"